"Key","File"
"Lifnum",
"Qmart",
"Check48",
"NtfStat",
"Fecod",
"Oteil",
"TaskOnay",
"TotalFound",
"Qmnum",
"Manum",
"Mnkat",
"Mngrp",
"Mncod",
"Mntxt",
"ErnamTsk",
"ErdatTsk",
"Pster",
"Peter",
"Pstur",
"Petur",
"Erlnam",
"Erldat",
"Erlzeit",
"Fenum",
"Parnr",
"Qsmnum",
"Matxt",
"Lifname",
"Qmcod",
"Matnr",
"Maktx",
"Qmdat",
"Mzeit",
"ErnamNtf",
"Ebeln",
"Mblnr",
"Vbeln",
"Bzmng",
"Rkmng",
"Mgein",
"HataTuru",
"ShowAll",
"TespEdlIst",
"Respc",
"ParcaStatu",
"Product",
"HowDetect",
"TekrarDurumu",
"Durus",
"Fetxt",
"Ottxt",
